title,title_marathi,ingredients,ingredients_regional,instructions,cuisine,diet,occasion,cooking_time_minutes,seasons,clean_ingredients,clean_instructions,combined_features,score
Masale Bhat,मसाले भात,"rice,onion,tomato,mustard seeds,curry leaves,turmeric,red chili,oil,salt,roasted peanuts,coriander","भात,कांदा,मिरची,राई,करीपत्ता,हळद,लालमिरची,तेल,मीठ,मूंगफळी,धान्य","Cook rice till slightly underdone.;Heat oil. Add mustard seeds, curry leaves, chopped onions.;Add chopped tomato, turmeric, red chili. Cook till oil separates.;Mix in cooked rice. Toss gently.;Add crushed roasted peanuts and coriander. Serve hot.",Maharashtrian,vegetarian,"lunch,daily,tiffin",35,monsoon,riceoniontomatomustard seedscurry leavesturmericred chilioilsaltroasted peanutscoriander,cook rice till slightly underdoneheat oil add mustard seed curry leaf chopped onionsadd chopped tomato turmeric red chili cook till oil separatesmix cooked rice toss gentlyadd crushed roasted peanut coriander serve hot,riceoniontomatomustard seedscurry leavesturmericred chilioilsaltroasted peanutscoriander cook rice till slightly underdoneheat oil add mustard seed curry leaf chopped onionsadd chopped tomato turmeric red chili cook till oil separatesmix cooked rice toss gentlyadd crushed roasted peanut coriander serve hot,0.06851695398900981
Pavachi Bhaji,पावाची भाजी,"potato,onion,bell pepper,tomato,green chili,spice mix,oil,salt,pav (bread)","बटाटा,कांदा,मिरची,मिरची,लसूण,मसाला,तेल,मीठ,पाव","Dice potato, onion, and bell pepper.;Sauté in oil with spices and tomato.;Cook until vegetables soften.;Serve hot with toasted pav.",Maharashtrian,vegetarian,"snack,street food,evening",25,monsoon,potatoonionbell peppertomatogreen chilispice mixoilsaltpav bread,dice potato onion bell peppersaut oil spice tomatocook vegetable softenserve hot toasted pav,potatoonionbell peppertomatogreen chilispice mixoilsaltpav bread dice potato onion bell peppersaut oil spice tomatocook vegetable softenserve hot toasted pav,0.14853587097309193
Saggus,सग्गूस,"jowar flour,curd,water,salt,mustard seeds,fried peanuts,green chili,coriander","ज्वारीचेआटे,दही,पाणी,मीठ,राई,मूंगफळी,मिरची,धान्य","Mix jowar flour with curd and water to make thick batter.;Let sit for 1 hour.;Heat oil. Add mustard seeds, chopped green chili.;Pour batter and cook on low flame till set.;Top with fried peanuts and coriander.",Maharashtrian,vegetarian,"breakfast,rural,monsoon",40,monsoon,jowar flourcurdwatersaltmustard seedsfried peanutsgreen chilicoriander,mix jowar flour curd water make thick batterlet sit hourheat oil add mustard seed chopped green chilipour batter cook low flame till settop fried peanut coriander,jowar flourcurdwatersaltmustard seedsfried peanutsgreen chilicoriander mix jowar flour curd water make thick batterlet sit hourheat oil add mustard seed chopped green chilipour batter cook low flame till settop fried peanut coriander,0.0
Akki Roti,अक्की रोटी,"rice flour,onion,carrot,green chili,coriander,oil,salt,water","चावलीचेआटे,कांदा,गाजर,मिरची,धान्य,तेल,मीठ,पाणी","Mix rice flour with grated carrot, onion, green chili, coriander.;Add water and salt to make dough.;Roll into thin discs.;Cook on tawa with oil till golden.",Maharashtrian,vegetarian,"breakfast,daily,tiffin",25,winter,rice flouronioncarrotgreen chilicorianderoilsaltwater,mix rice flour grated carrot onion green chili corianderadd water salt make doughroll thin discscook tawa oil till golden,rice flouronioncarrotgreen chilicorianderoilsaltwater mix rice flour grated carrot onion green chili corianderadd water salt make doughroll thin discscook tawa oil till golden,0.0
Telichi Bharli Gobhi,तेलीची भरली गोभी,"cauliflower,gram flour,turmeric,mustard seeds,curry leaves,oil,salt","गोभी,बेसन,हळद,राई,करीपत्ता,तेल,मीठ","Cut cauliflower into florets.;Mix gram flour with water, turmeric, salt to make paste.;Coat cauliflower in paste.;Fry in oil until golden.;Temper with mustard seeds and curry leaves.",Maharashtrian,vegetarian,"snack,festive,lunch",30,festive,cauliflowergram flourturmericmustard seedscurry leavesoilsalt,cut cauliflower floretsmix gram flour water turmeric salt make pastecoat cauliflower pastefry oil goldentemper mustard seed curry leaf,cauliflowergram flourturmericmustard seedscurry leavesoilsalt cut cauliflower floretsmix gram flour water turmeric salt make pastecoat cauliflower pastefry oil goldentemper mustard seed curry leaf,0.07938690221195226
Pelat,पेलट,"green mango,jaggery,salt,mustard seeds,red chili,oil,curry leaves","हिरवाआंबा,गुड,मीठ,राई,लालमिरची,तेल,करीपत्ता","Grate green mango.;Heat oil. Add mustard seeds, curry leaves.;Add grated mango, jaggery, chili, salt.;Cook until soft and syrupy. Stir often.;Serve as chutney with bhakri.",Maharashtrian,vegetarian,"summer,lunch,rainy season",15,summer,green mangojaggerysaltmustard seedsred chilioilcurry leaf,grate green mangoheat oil add mustard seed curry leavesadd grated mango jaggery chili saltcook soft syrupy stir oftenserve chutney bhakri,green mangojaggerysaltmustard seedsred chilioilcurry leaf grate green mangoheat oil add mustard seed curry leavesadd grated mango jaggery chili saltcook soft syrupy stir oftenserve chutney bhakri,0.07808159430650993
Bhat Bhaaji,भात भाजी,"rice,potato,onion,tomato,peas,turmeric,oil,salt","भात,बटाटा,कांदा,मिरची,मटार,हळद,तेल,मीठ","Cook rice separately.;In oil, sauté onion and tomato.;Add diced potato and peas. Cook till soft.;Mix in cooked rice. Add turmeric and salt.;Cook 5 min till flavors blend.",Maharashtrian,vegetarian,"lunch,daily,leftover use",35,monsoon,ricepotatooniontomatopeasturmericoilsalt,cook rice separatelyin oil saut onion tomatoadd diced potato pea cook till softmix cooked rice add turmeric saltcook min till flavor blend,ricepotatooniontomatopeasturmericoilsalt cook rice separatelyin oil saut onion tomatoadd diced potato pea cook till softmix cooked rice add turmeric saltcook min till flavor blend,0.15409108870426474
Papad Bhaji,पापड भाजी,"papad,onion,green chili,mustard seeds,turmeric,oil,coriander,salt","पापड,कांदा,मिरची,राई,हळद,तेल,धान्य,मीठ","Fry papad until crisp. Keep aside.;Heat oil. Add mustard seeds, curry leaves, green chili.;Add chopped onion and turmeric. Sauté.;Shred papad and mix in. Cook 2 min.;Garnish with coriander. Serve instantly.",Maharashtrian,vegetarian,"snack,quick lunch,monsoon",12,monsoon,papadoniongreen chilimustard seedsturmericoilcoriandersalt,fry papad crisp keep asideheat oil add mustard seed curry leaf green chiliadd chopped onion turmeric sautshred papad mix cook mingarnish coriander serve instantly,papadoniongreen chilimustard seedsturmericoilcoriandersalt fry papad crisp keep asideheat oil add mustard seed curry leaf green chiliadd chopped onion turmeric sautshred papad mix cook mingarnish coriander serve instantly,0.07525110302855187
Kanda Amti,कांदा आमटी,"toor dal,onion,turmeric,tamarind pulp,mustard seeds,cumin,ghee,salt","तूरदाल,कांदा,हळद,कोंबडीरस,राई,जीरे,घी,मीठ","Pressure cook toor dal until soft.;Heat ghee. Add mustard seeds, cumin, onions.;Add tamarind pulp and cooked dal. Simmer.;Add turmeric and salt. Cook for 10 min.;Serve with rice or bhakri.",Maharashtrian,vegetarian,"daily,lunch,rural",45,winter,toor dalonionturmerictamarind pulpmustard seedscumingheesalt,pressure cook toor dal softheat ghee add mustard seed cumin onionsadd tamarind pulp cooked dal simmeradd turmeric salt cook minserve rice bhakri,toor dalonionturmerictamarind pulpmustard seedscumingheesalt pressure cook toor dal softheat ghee add mustard seed cumin onionsadd tamarind pulp cooked dal simmeradd turmeric salt cook minserve rice bhakri,0.0
Bharli Vangi,भरली वांगी,"eggplant,curd,mint,coriander,shallots,turmeric,oil,salt,red chili","वांगी,दही,पुदीना,धान्य,लहानकांदा,हळद,तेल,मीठ,लालमिरची","Cut eggplant into halves, scoop out flesh.;Mix pulp with curd, mint, coriander, shallots, spices.;Stuff back into eggplant halves.;Steam for 15 minutes.;Temper with oil and red chili.",Maharashtrian,vegetarian,"daily,lunch",35,summer,eggplantcurdmintcoriandershallotsturmericoilsaltred chili,cut eggplant half scoop fleshmix pulp curd mint coriander shallot spicesstuff back eggplant halvessteam minutestemper oil red chili,eggplantcurdmintcoriandershallotsturmericoilsaltred chili cut eggplant half scoop fleshmix pulp curd mint coriander shallot spicesstuff back eggplant halvessteam minutestemper oil red chili,0.0
Ukadiche Modak (Soft),उकडिचे मोदक (मऊ),"rice flour,grated coconut,jaggery,cardamom,ghee,water","चावलीचेआटे,नारळ,गुड,इलायची,घी,पाणी","Make dough with rice flour and warm water.;Cook coconut and jaggery together until dry.;Roll dough into cups, fill with coconut mix, pleat tops.;Steam for 12 minutes. Serve warm.",Maharashtrian,vegetarian,"ganesh_chaturthi,festive,home ritual",40,festive,rice flourgrated coconutjaggerycardamomgheewater,make dough rice flour warm watercook coconut jaggery together dryroll dough cup fill coconut mix pleat topssteam minute serve warm,rice flourgrated coconutjaggerycardamomgheewater make dough rice flour warm watercook coconut jaggery together dryroll dough cup fill coconut mix pleat topssteam minute serve warm,0.0
Batata Saar,बाटले सार,"potato,tamarind,turmeric,mustard seeds,curry leaves,oil,water,salt,coriander","बटाटा,कोंबडी,हळद,राई,करीपत्ता,तेल,पाणी,मीठ,धान्य","Boil and mash potatoes.;Heat oil. Add mustard seeds, curry leaves.;Add tamarind pulp and water. Simmer.;Add mashed potatoes, turmeric, salt.;Garnish with coriander. Serve hot.",Maharashtrian,vegetarian,"lunch,monsoon,daily",30,monsoon,potatotamarindturmericmustard seedscurry leavesoilwatersaltcoriander,boil mash potatoesheat oil add mustard seed curry leavesadd tamarind pulp water simmeradd mashed potato turmeric saltgarnish coriander serve hot,potatotamarindturmericmustard seedscurry leavesoilwatersaltcoriander boil mash potatoesheat oil add mustard seed curry leavesadd tamarind pulp water simmeradd mashed potato turmeric saltgarnish coriander serve hot,0.25193331310285794
Kandachi Bhakri,कांद्याची भाकरी,"jowar flour,onion,green chili,coriander,salt,water","ज्वारीचेआटे,कांदा,मिरची,धान्य,मीठ,पाणी","Mix jowar flour with grated onion, green chili, coriander, salt.;Add water to make stiff dough.;Roll into thick rotis.;Cook on tawa with oil till browned.",Maharashtrian,vegetarian,"daily,monsoon,lunch",25,monsoon,jowar flouroniongreen chilicoriandersaltwater,mix jowar flour grated onion green chili coriander saltadd water make stiff doughroll thick rotiscook tawa oil till browned,jowar flouroniongreen chilicoriandersaltwater mix jowar flour grated onion green chili coriander saltadd water make stiff doughroll thick rotiscook tawa oil till browned,0.0
Pohe,पोहे,"flattened rice,onion,mustard seeds,curry leaves,turmeric,peanuts,lemon,coriander,oil,salt","पोहे,कांदा,राई,करीपत्ता,हळद,मूंगफळी,निंबू,धान्य,तेल,मीठ","Rinse pohe lightly and let drain.;Heat oil. Add mustard seeds, curry leaves, onion.;Add turmeric, peanuts. Sauté.;Add pohe, salt. Mix gently.;Finish with lemon and coriander. Serve hot.",Maharashtrian,vegetarian,"breakfast,daily,tiffin",15,summer,flattened riceonionmustard seedscurry leavesturmericpeanutslemoncorianderoilsalt,rinse pohe lightly let drainheat oil add mustard seed curry leaf onionadd turmeric peanut sautadd pohe salt mix gentlyfinish lemon coriander serve hot,flattened riceonionmustard seedscurry leavesturmericpeanutslemoncorianderoilsalt rinse pohe lightly let drainheat oil add mustard seed curry leaf onionadd turmeric peanut sautadd pohe salt mix gentlyfinish lemon coriander serve hot,0.07162050463274793
Kande Khaati,कांदे खाटी,"onion,oil,salt,turmeric,cumin seeds,ghee","कांदा,तेल,मीठ,हळद,जीरे,घी",Thinly slice onions.;Heat ghee and oil. Add cumin seeds.;Add onions. Fry slowly till golden brown.;Add turmeric and salt.;Serve as side with rice or bhakri.,Maharashtrian,vegetarian,"daily,lunch,rural",20,winter,onionoilsaltturmericcumin seedsghee,thinly slice onionsheat ghee oil add cumin seedsadd onion fry slowly till golden brownadd turmeric saltserve side rice bhakri,onionoilsaltturmericcumin seedsghee thinly slice onionsheat ghee oil add cumin seedsadd onion fry slowly till golden brownadd turmeric saltserve side rice bhakri,0.0
Oats Shivaji,ओट्स शिवाजी,"oats,vegetables,onion,green chili,turmeric,oil,salt","ओट्स,भाज्या,कांदा,मिरची,हळद,तेल,मीठ","Cook oats in water until soft.;Sauté onions, chili, vegetables in oil.;Add turmeric and salt.;Mix with cooked oats.;Serve hot as porridge.",Maharashtrian,vegetarian,"breakfast,health,daily",20,winter,oatsvegetablesoniongreen chiliturmericoilsalt,cook oat water softsaut onion chili vegetable oiladd turmeric saltmix cooked oatsserve hot porridge,oatsvegetablesoniongreen chiliturmericoilsalt cook oat water softsaut onion chili vegetable oiladd turmeric saltmix cooked oatsserve hot porridge,0.0
Kadhi,कढी,"yogurt,besan,water,mustard seeds,curry leaves,turmeric,oil,salt,cumin","दही,बेसन,पाणी,राई,करीपत्ते,हळद,तेल,मीठ,जीरे","Whisk yogurt with water and besan until smooth.;In a pan, heat oil. Add mustard seeds, curry leaves, cumin.;Add turmeric and salt.;Pour yogurt mixture. Cook on low flame till thick.;Serve hot with rice.",Maharashtrian,vegetarian,"lunch,daily,monsoon",30,monsoon,yogurtbesanwatermustard seedscurry leavesturmericoilsaltcumin,whisk yogurt water besan smoothin pan heat oil add mustard seed curry leaf cuminadd turmeric saltpour yogurt mixture cook low flame till thickserve hot rice,yogurtbesanwatermustard seedscurry leavesturmericoilsaltcumin whisk yogurt water besan smoothin pan heat oil add mustard seed curry leaf cuminadd turmeric saltpour yogurt mixture cook low flame till thickserve hot rice,0.0747619095896595
Vangi Masala,वांगी मसाला,"eggplant,onion,tomato,spice mix,oil,salt,turmeric,curry leaves","वांगी,कांदा,टोमॅटो,मसालामिक्स,तेल,मीठ,हळद,करीपत्ते",Roast eggplant over fire until soft.;Chop tomato and onion.;Sauté in oil with spice mix and curry leaves.;Add roasted eggplant. Mix gently.;Cook 5 min until well blended.,Maharashtrian,vegetarian,"lunch,daily,seasonal",35,summer,eggplantoniontomatospice mixoilsaltturmericcurry leaf,roast eggplant fire softchop tomato onionsaut oil spice mix curry leavesadd roasted eggplant mix gentlycook min well blended,eggplantoniontomatospice mixoilsaltturmericcurry leaf roast eggplant fire softchop tomato onionsaut oil spice mix curry leavesadd roasted eggplant mix gentlycook min well blended,0.08257291174273604
Baingan Bharta,बैंगन भर्ता,"eggplant,onion,tomato,garlic,green chili,oil,salt,coriander,garam masala","बैंगन,कांदा,टोमॅटो,लसूण,हिरवीमिरची,तेल,मीठ,धनिया,गरममसाला","Roast eggplant till charred and soft.;Peel skin and mash.;Sauté onion, tomato, garlic, chili in oil.;Add mashed eggplant and garam masala.;Cook 10 min. Garnish with coriander.",Maharashtrian,vegetarian,"lunch,festive,evening",45,winter,eggplantoniontomatogarlicgreen chilioilsaltcoriandergaram masala,roast eggplant till charred softpeel skin mashsaut onion tomato garlic chili oiladd mashed eggplant garam masalacook min garnish coriander,eggplantoniontomatogarlicgreen chilioilsaltcoriandergaram masala roast eggplant till charred softpeel skin mashsaut onion tomato garlic chili oiladd mashed eggplant garam masalacook min garnish coriander,0.0
Pulav,पुलाव,"rice,onion,potato,peas,carrot,turmeric,garam masala,oil,salt","भात,कांदा,बटाटा,मटार,गाजर,हळद,गरममसाला,तेल,मीठ","Soak rice for 30 minutes.;Sauté onions, carrots, potatoes.;Add peas, turmeric, garam masala.;Add rice and water. Cook covered.;Fluff with fork. Serve hot.",Maharashtrian,vegetarian,"lunch,festive,party",40,festive,riceonionpotatopeascarrotturmericgaram masalaoilsalt,soak rice minutessaut onion carrot potatoesadd pea turmeric garam masalaadd rice water cook coveredfluff fork serve hot,riceonionpotatopeascarrotturmericgaram masalaoilsalt soak rice minutessaut onion carrot potatoesadd pea turmeric garam masalaadd rice water cook coveredfluff fork serve hot,0.0
Farsan,फरसान,"sev,chickpea flour,oil,salt,turmeric,asafetida,mustard seeds,curry leaves","सेव,चणाडाळपीठ,तेल,मीठ,हळद,हिंग,राई,करीपत्ते","Mix chickpea flour with water, salt, turmeric, asafoetida.;Slowly heat oil. Add mustard seeds, curry leaves.;Pour batter in tiny streams into hot oil.;Fry until crisp. Drain and cool.;Store for snacks.",Maharashtrian,vegetarian,"snack,festival,diwali",25,festive,sevchickpea flouroilsaltturmericasafetidamustard seedscurry leaf,mix chickpea flour water salt turmeric asafoetidaslowly heat oil add mustard seed curry leavespour batter tiny stream hot oilfry crisp drain coolstore snack,sevchickpea flouroilsaltturmericasafetidamustard seedscurry leaf mix chickpea flour water salt turmeric asafoetidaslowly heat oil add mustard seed curry leavespour batter tiny stream hot oilfry crisp drain coolstore snack,0.07543752962071473
Sukhi Sabji,शुक्की साभाजी,"gourd,onion,mustard seeds,turmeric,curry leaves,oil,salt","दुधी,कांदा,राई,हळद,करीपत्ते,तेल,मीठ","Slice bottle gourd paper-thin.;Heat oil. Add mustard seeds, curry leaves.;Add gourd. Sauté till crispy.;Add turmeric, salt. Cook till dry.;Serve as crunchy side.",Maharashtrian,vegetarian,"lunch,daily,festival",20,monsoon,gourdonionmustard seedsturmericcurry leavesoilsalt,slice bottle gourd paperthinheat oil add mustard seed curry leavesadd gourd saut till crispyadd turmeric salt cook till dryserve crunchy side,gourdonionmustard seedsturmericcurry leavesoilsalt slice bottle gourd paperthinheat oil add mustard seed curry leavesadd gourd saut till crispyadd turmeric salt cook till dryserve crunchy side,0.08125001909698351
Kanda Aloo Sabji,कांदा आलू साभाजी,"onion,potato,turmeric,mustard seeds,curry leaves,oil,salt","कांदा,बटाटा,हळद,राई,करीपत्ते,तेल,मीठ","Dice onions and potatoes.;Heat oil. Add mustard seeds, curry leaves.;Sauté onions till translucent.;Add potatoes, turmeric, salt.;Cook covered until tender.",Maharashtrian,vegetarian,"breakfast,lunch,daily",25,monsoon,onionpotatoturmericmustard seedscurry leavesoilsalt,dice onion potatoesheat oil add mustard seed curry leavessaut onion till translucentadd potato turmeric saltcook covered tender,onionpotatoturmericmustard seedscurry leavesoilsalt dice onion potatoesheat oil add mustard seed curry leavessaut onion till translucentadd potato turmeric saltcook covered tender,0.26970125137105533
Dhania Pankan,धान्य पाकान,"fresh coriander,gram flour,green chili,turmeric,oil,salt","धनियापाने,हरभराडाळपीठ,हिरवीमिरची,हळद,तेल,मीठ","Blend coriander with green chili.;Mix with gram flour, salt, turmeric.;Add water to make thick batter.;Fry spoonfuls in oil till golden.;Serve as crispy fritters.",Maharashtrian,vegetarian,"snack,evening,party",20,summer,fresh coriandergram flourgreen chiliturmericoilsalt,blend coriander green chilimix gram flour salt turmericadd water make thick batterfry spoonful oil till goldenserve crispy fritter,fresh coriandergram flourgreen chiliturmericoilsalt blend coriander green chilimix gram flour salt turmericadd water make thick batterfry spoonful oil till goldenserve crispy fritter,0.0
Bhakri with tilt,भाकरी व टिलट,"bhakri,tilt (sesame seed chutney),onion,green chili,salt","भाकरी,तीळचटणी,कांदा,हिरवीमिरची,मीठ","Make chutney: roast sesame seeds, grind with onion, chili, salt.;Serve warm bhakri with sesame chutney.;Ideal for winter months.",Maharashtrian,vegetarian,"breakfast,winter,rural",20,winter,bhakritilt sesame seed chutneyoniongreen chilisalt,make chutney roast sesame seed grind onion chili saltserve warm bhakri sesame chutneyideal winter month,bhakritilt sesame seed chutneyoniongreen chilisalt make chutney roast sesame seed grind onion chili saltserve warm bhakri sesame chutneyideal winter month,0.0
Kolhapuri Chicken Curry,कोल्हापुरी मांसचा करी,"chicken,red chili powder,coconut,onion,garlic,ginger,tomato,spice mix,oil,water","कोल्हापुरीमांस,लालमिरचीपूड,नारळ,कांदा,लसूण,आले,टोमॅटो,मसालामिक्स,तेल,पाणी","Marinate chicken in chili powder and coconut.;Sauté onion, garlic, ginger.;Add tomato and spice mix. Cook well.;Add chicken, water. Simmer 40 min.;Serve with rice or puri.",Maharashtrian,non-vegetarian,"festive,wedding,special dinner",75,winter,chickenred chili powdercoconutoniongarlicgingertomatospice mixoilwater,marinate chicken chili powder coconutsaut onion garlic gingeradd tomato spice mix cook welladd chicken water simmer minserve rice puri,chickenred chili powdercoconutoniongarlicgingertomatospice mixoilwater marinate chicken chili powder coconutsaut onion garlic gingeradd tomato spice mix cook welladd chicken water simmer minserve rice puri,0.0
Kheer,खीर,"milk,rice,jaggery,cardamom,nuts,ghee","दूध,भात,गूळ,वेलदाणा,बदाम,घी","Cook rice in milk until soft.;Add jaggery, cardamom powder.;Cook until thick. Stir often.;Add chopped nuts and ghee.;Cool and serve chilled.",Maharashtrian,vegetarian,"festive,wedding,puja",60,winter,milkricejaggerycardamomnutsghee,cook rice milk softadd jaggery cardamom powdercook thick stir oftenadd chopped nut gheecool serve chilled,milkricejaggerycardamomnutsghee cook rice milk softadd jaggery cardamom powdercook thick stir oftenadd chopped nut gheecool serve chilled,0.0
Pheni,फेणी,"refined flour,ghee,sugar,cardamom,milk,saffron","तूप,साखर,वेलदाणा,दूध,केसर,पीठ",Mix flour with water to make dough.;Roll into thin strands and coil into nests.;Fry in ghee until golden.;Soak in sugar syrup with cardamom and saffron.;Cool and serve.,Maharashtrian,vegetarian,"festive,wedding,diwali",50,festive,refined flourgheesugarcardamommilksaffron,mix flour water make doughroll thin strand coil nestsfry ghee goldensoak sugar syrup cardamom saffroncool serve,refined flourgheesugarcardamommilksaffron mix flour water make doughroll thin strand coil nestsfry ghee goldensoak sugar syrup cardamom saffroncool serve,0.0
Kanda Amti,कांदा आमटी,"toor dal,onion,turmeric,tamarind,mustard seeds,cumin,ghee,salt","तूरडाळ,कांदा,हळद,चिंच,राई,जिरे,तूप,मीठ","Cook toor dal till soft.;In ghee, fry mustard seeds, cumin, onion.;Add tamarind and cooked dal.;Simmer for 10 minutes.;Serve with rice.",Maharashtrian,vegetarian,"daily,lunch,rural",45,winter,toor dalonionturmerictamarindmustard seedscumingheesalt,cook toor dal till softin ghee fry mustard seed cumin onionadd tamarind cooked dalsimmer minutesserve rice,toor dalonionturmerictamarindmustard seedscumingheesalt cook toor dal till softin ghee fry mustard seed cumin onionadd tamarind cooked dalsimmer minutesserve rice,0.0
Modak Amti,मोदक आमटी,"toor dal,jaggery,mustard seeds,turmeric,curry leaves,oil,salt,coconut","तूरडाळ,गूळ,राई,हळद,करीपत्ते,तेल,मीठ,नारळ","Cook toor dal till soft.;In oil, temper mustard seeds and curry leaves.;Add jaggery, coconut, turmeric.;Mix with dal. Simmer 10 min.;Serve with steamed rice.",Maharashtrian,vegetarian,"ganesh_chaturthi,festive",35,festive,toor daljaggerymustard seedsturmericcurry leavesoilsaltcoconut,cook toor dal till softin oil temper mustard seed curry leavesadd jaggery coconut turmericmix dal simmer minserve steamed rice,toor daljaggerymustard seedsturmericcurry leavesoilsaltcoconut cook toor dal till softin oil temper mustard seed curry leavesadd jaggery coconut turmericmix dal simmer minserve steamed rice,0.07912268820020638
Tambada Patto,तांबडा पातू,"lamb liver,onion,tomato,red chili,turmeric,oil,salt,ginger,garlic","गोवरयकृत,कांदा,टोमॅटो,लालमिरची,हळद,तेल,मीठ,आले,लसूण","Clean and cut liver into pieces.;Sauté garlic, ginger, onion.;Add tomato and red chili.;Add liver and turmeric. Cook 15 min.;Serve with bhakri.",Maharashtrian,non-vegetarian,"indigenous,traditional,wedding",25,winter,lamb liveroniontomatored chiliturmericoilsaltgingergarlic,clean cut liver piecessaut garlic ginger onionadd tomato red chiliadd liver turmeric cook minserve bhakri,lamb liveroniontomatored chiliturmericoilsaltgingergarlic clean cut liver piecessaut garlic ginger onionadd tomato red chiliadd liver turmeric cook minserve bhakri,0.0
